Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
ClC1=C(C=CC=C1)C#N;COC1=CC=C([Zn]Cl)C=C1;COC1=CC=C(C=C1)C1=CC=CC=C1C#N;0.82;[];[];[59, 59];[60];[];89
BrC1=CC=C(C=O)C=C1;Br[Zn]C1=C(C=CC=C1)C#N;O=CC1=CC=C(C=C1)C1=CC=CC=C1C#N;0.77;[2];[];[59];[60];[];90
BrC1=CC=C(C=O)C=C1;Br[Zn]C1=C(C=CC=C1)C#N;O=CC1=CC=C(C=C1)C1=CC=CC=C1C#N;0.9;[2];[];[59];[60];[];91
Br[Zn]C1CCCCC1;BrC1=CC=C(C=O)C=C1;O=CC1=CC=C(C=C1)C1CCCCC1;0.79;[2];[];[59];[60];[];92
CC(C)(C)OC(=O)N1CCN(CC1)C1=CC(C2=CC=CC=C2)=C(Cl)N=N1;N#C[Zn]C#N;CC(C)(C)OC(=O)N1CCN(CC1)C1=CC(C2=CC=CC=C2)=C(N=N1)C#N;1.0;[0];[];[59];[61];[];93
CC1=CC=C(CNC2=CC=C3C(I)=CC=CC3=N2)O1;N#C[Zn]C#N;CC1=CC=C(CNC2=CC=C3C(C=CC=C3C#N)=N2)O1;0.91;[0];[];[59];[61];[];94
CCS(=O)(=O)C1=CC(=CC=C1)C1=C2C3=CC(C)=CN=C3NC2=C(Cl)N=C1;N#C[Zn]C#N;CCS(=O)(=O)C1=CC(=CC=C1)C1=C2C3=CC(C)=CN=C3NC2=C(N=C1)C#N;0.86;[0];[];[59];[61];[];95
COC(=O)\C=C\C1=C(Br)C=C(Cl)C=C1;N#C[Zn]C#N;COC(=O)\C=C\C1=C(C=C(Cl)C=C1)C#N;0.5;[0];[];[59];[61];[];96
COC1=C(CNC2=CC=C3C=C(Br)C=CC3=N2)C=CC=C1;N#C[Zn]C#N;COC1=C(CNC2=CC=C3C=C(C=CC3=N2)C#N)C=CC=C1;0.95;[0];[];[59];[61];[];97
FC(F)(F)C1=CC=C(C=C1)C1=C(Br)N=CO1;N#C[Zn]C#N;FC(F)(F)C1=CC=C(C=C1)C1=C(N=CO1)C#N;0.8;[0];[];[59];[61];[];98
IC1=CC=CC2=NC(N[C@@H]3CCC4=C3C=CC=C4)=CC=C12;N#C[Zn]C#N;N#CC1=CC=CC2=NC(N[C@@H]3CCC4=C3C=CC=C4)=CC=C12;0.79;[0];[];[59];[61];[];99
ClC1=NC=NC2=C1CCN(CC1=CC=CC=C1)C2;N#C[Zn]C#N;N#CC1=NC=NC2=C1CCN(CC1=CC=CC=C1)C2;0.55;[0];[];[59];[61];[];100
ClC1=NN=C(NC2CCN(CC3=CC=CC=C3)CC2)C=C1;N#C[Zn]C#N;N#CC1=NN=C(NC2CCN(CC3=CC=CC=C3)CC2)C=C1;0.36;[0];[];[59];[61];[];101
CN1C=C(Br)N=C1C1=CC=C(C=C1)N1CCOCC1=O;N#C[Zn]C#N;CN1C=C(N=C1C1=CC=C(C=C1)N1CCOCC1=O)C#N;0.22;[0];[];[59];[62];[];103
[H][C@]1(C[C@@H](C(C)C)C(=O)O1)[C@H](O)COCC1=CC=C(Br)C(OCCCOC)=C1;N#C[Zn]C#N;[H][C@]1(C[C@@H](C(C)C)C(=O)O1)[C@H](O)COCC1=CC=C(C#N)C(OCCCOC)=C1;0.65;[0];[];[59];[61];[];104
CS(=O)(=O)OC1=CC(Cl)=CC(Cl)=C1;N#C[Zn]C#N;ClC1=CC(=CC(Cl)=C1)C#N;0.94;[3, 3];[];[59];[60];[];105
N#C[Zn]C#N;COC(=O)C1=CC=CC=C1OS(C)(=O)=O;COC(=O)C1=C(C=CC=C1)C#N;0.94;[3, 3];[];[59];[60];[];106
COC(=O)C1=CC(OS(C)(=O)=O)=CN=C1;N#C[Zn]C#N;COC(=O)C1=CN=CC(=C1)C#N;0.94;[3, 3];[];[59];[60];[];107
N#C[Zn]C#N;COC1=CC(OS(C)(=O)=O)=CC(OC)=C1;COC1=CC(=CC(OC)=C1)C#N;0.95;[3, 3];[];[59];[60];[];108
CS(=O)(=O)OC1=CC2=CC=CC=C2C=C1;N#C[Zn]C#N;N#CC1=CC2=CC=CC=C2C=C1;0.93;[3, 3];[];[59];[60];[];109
N#C[Zn]C#N;OC1=CC=C(C=C1Br)C(=O)N1CCOCC1;OC1=CC=C(C=C1C#N)C(=O)N1CCOCC1;0.874;[];[32];[59];[];[71, 71, 71];110
BrC1=CC=C(C=C1)C(=O)C1=CC=C2NC=CC2=C1;N#C[Zn]C#N;O=C(C1=CC=C(C=C1)C#N)C1=CC=C2NC=CC2=C1;0.68;[0];[];[59];[61];[];111
NC1=NC(C2=C1C=CC(Cl)=C2)(C1=CC=NC=C1)C1=CC=CC(=C1)C1=CN=CN=C1;N#C[Zn]C#N;NC1=NC(C2=C1C=CC(=C2)C#N)(C1=CC=NC=C1)C1=CC(=CC=C1)C1=CN=CN=C1;0.12;[0, 5];[];[59];[61];[71];112
CC1=CC=C(C=C1)S(=O)(=O)N(CCBr)C1=CC(Br)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCC2=C(C#N)C(C)=CC=C12;0.57;[3];[35];[59];[69];[85, 82];113
CC1=CC=C(C=C1)S(=O)(=O)N(CCBr)C1=CC(I)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCC2=C(C#N)C(C)=CC=C12;0.78;[3];[35];[59];[69];[85, 82];114
CC1=CC=C(C=C1)S(=O)(=O)N(CCCBr)C1=CC(Br)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCCC2=C(C#N)C(C)=CC=C12;0.55;[3];[35];[59];[69];[85, 82];115
CC1=CC=C(C=C1)S(=O)(=O)N(CCCBr)C1=CC(I)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCCC2=C(C#N)C(C)=CC=C12;0.79;[3];[35];[59];[69];[85, 82];116
CC1=CC=C(C=C1)S(=O)(=O)N(CCCCBr)C1=CC(Br)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCCCC2=C(C#N)C(C)=CC=C12;0.47;[3];[35];[59];[69];[85, 82];117
CC1=CC=C(C=C1)S(=O)(=O)N(CCCCBr)C1=CC(I)=C(C)C=C1;N#C[Zn]C#N;CC1=CC=C(C=C1)S(=O)(=O)N1CCCCC2=C(C#N)C(C)=CC=C12;0.67;[3];[35];[59];[69];[85, 82];118
CC1=C(I)C=C(OCCCCBr)C=C1;N#C[Zn]C#N;CC1=CC=C2OCCCCC2=C1C#N;0.62;[3];[35];[59];[69];[85, 82];121
